trial_id,n,m,acc,duration
0,3,2,8.6,107.69285726547241
1,1,12,23.9,88.421875
2,2,4,26.3,97.35039377212524
3,1,3,26.6,88.69961810112
4,3,11,16.5,105.78818416595459
5,3,9,17.5,105.90958595275879
6,1,10,25.3,88.15879797935486
7,2,1,27.9,96.90617394447327
8,1,2,28.2,88.23285508155823
9,1,4,27.0,88.49898505210876
