Strategy,SSIM_Mean,SSIM_Std,LPIPS_Mean,LPIPS_Std
Baseline (Flip/Crop),0.1980471719260168,0.2012690961379824,0.08406623774208129,0.04891890757562568
"RandAugment (N=2, M=9)",0.14682020049778846,0.1704084824562766,0.1236111256312579,0.06908747579257775
Ours (ColorJitter),0.19598769131769236,0.18737983313258919,0.09100916709564626,0.05079237423813666
