Method,Mean,Std,Seeds,Accs
RandAugment,50.0,0.0,"[42, 100, 2024]","[50.0, 50.0, 50.0]"
Ours,50.0,0.0,"[42, 100, 2024]","[50.0, 50.0, 50.0]"
